Country,ISO,Bloc,Population 2024,GDP 2022 (int'l $),CO2 2024 (Mt),Cumulative CO2 (Mt)
China,CHN,China,"1,419,321,284","26,966,016,991,166","12,289.0","285,087.0"
Austria,AUT,European Union (27),"9,120,815","398,815,419,150",56.4,"5,749.7"
Belgium,BEL,European Union (27),"11,738,761","489,678,394,377",85.5,"12,906.2"
Bulgaria,BGR,European Union (27),"6,757,686","138,390,156,500",31.6,"3,984.2"
Croatia,HRV,European Union (27),"3,875,325","102,284,645,672",18.5,"1,184.7"
Cyprus,CYP,European Union (27),"1,358,287","34,255,009,922",7.3,321.6
Czechia,CZE,European Union (27),"10,735,857","342,966,849,621",75.6,"12,331.8"
Denmark,DNK,European Union (27),"5,977,417","299,429,011,832",28.4,"4,199.7"
Estonia,EST,European Union (27),"1,360,548","39,999,856,613",8.3,"1,668.5"
Finland,FIN,European Union (27),"5,617,311","226,154,847,456",29.8,"3,324.8"
France,FRA,European Union (27),"66,548,532","2,671,568,767,031",264.2,"40,047.6"
Germany,DEU,European Union (27),"84,552,234","3,909,612,753,939",572.3,"95,135.7"
Greece,GRC,European Union (27),"10,047,813","263,892,672,733",53.4,"4,296.8"
Hungary,HUN,European Union (27),"9,676,135","285,385,229,433",40.0,"5,183.9"
Ireland,IRL,European Union (27),"5,255,016","308,390,920,561",33.3,"2,366.4"
Italy,ITA,European Union (27),"59,342,870","2,136,009,300,257",301.9,"26,005.9"
Latvia,LVA,European Union (27),"1,871,874","51,248,480,035",6.5,980.8
Lithuania,LTU,European Union (27),"2,859,112","84,814,257,826",12.5,"1,610.1"
Luxembourg,LUX,European Union (27),"673,042","36,128,358,732",7.0,783.0
Malta,MLT,European Union (27),"539,612","18,295,132,993",1.7,111.2
Netherlands,NLD,European Union (27),"18,228,740","879,609,110,665",114.8,"12,261.7"
Poland,POL,European Union (27),"38,539,209","1,231,021,338,216",272.9,"29,043.9"
Portugal,PRT,European Union (27),"10,425,291","295,712,910,456",35.5,"2,767.6"
Romania,ROU,European Union (27),"19,015,096","504,741,667,296",68.6,"8,861.8"
Slovakia,SVK,European Union (27),"5,506,759","150,360,426,456",29.1,"4,028.3"
Slovenia,SVN,European Union (27),"2,118,692","69,385,349,463",12.8,911.4
Spain,ESP,European Union (27),"47,910,533","1,625,139,888,517",220.3,"15,700.2"
Sweden,SWE,European Union (27),"10,606,993","494,214,521,158",38.1,"5,134.6"
Afghanistan,AFG,Global South & Climate-Vulnerable Coalition,"42,647,502","53,303,471,617",10.8,242.6
Angola,AGO,Global South & Climate-Vulnerable Coalition,"37,885,854","158,346,237,030",22.3,739.6
Antigua and Barbuda,ATG,Global South & Climate-Vulnerable Coalition,"93,782",,0.7,26.9
Bahamas,BHS,Global South & Climate-Vulnerable Coalition,"401,282",,3.1,180.6
Bangladesh,BGD,Global South & Climate-Vulnerable Coalition,"173,562,366","858,143,907,016",108.3,"2,001.0"
Barbados,BRB,Global South & Climate-Vulnerable Coalition,"282,476","3,408,005,977",1.4,63.9
Belize,BLZ,Global South & Climate-Vulnerable Coalition,"417,077",,0.8,22.5
Benin,BEN,Global South & Climate-Vulnerable Coalition,"14,462,721","33,290,362,034",6.1,128.4
Bhutan,BTN,Global South & Climate-Vulnerable Coalition,"791,530",,1.7,29.8
Burkina Faso,BFA,Global South & Climate-Vulnerable Coalition,"23,548,782","37,320,442,404",6.5,95.8
Burundi,BDI,Global South & Climate-Vulnerable Coalition,"14,047,788","9,177,077,459",0.9,16.7
Cambodia,KHM,Global South & Climate-Vulnerable Coalition,"17,638,804","65,136,593,996",21.9,251.6
Cape Verde,CPV,Global South & Climate-Vulnerable Coalition,"524,878","4,251,154,554",0.6,16.9
Central African Republic,CAF,Global South & Climate-Vulnerable Coalition,"5,330,691","3,752,056,621",0.4,12.3
Chad,TCD,Global South & Climate-Vulnerable Coalition,"20,299,131","24,118,013,870",2.8,51.3
Comoros,COM,Global South & Climate-Vulnerable Coalition,"866,632","1,682,076,951",0.6,7.5
Cuba,CUB,Global South & Climate-Vulnerable Coalition,"10,979,781","84,154,971,449",24.4,"1,814.1"
Democratic Republic of Congo,COD,Global South & Climate-Vulnerable Coalition,"109,276,264","91,314,988,450",5.9,238.7
Djibouti,DJI,Global South & Climate-Vulnerable Coalition,"1,168,726","3,395,681,646",0.6,21.1
Dominica,DMA,Global South & Climate-Vulnerable Coalition,"66,226","675,098,029",0.2,5.5
Dominican Republic,DOM,Global South & Climate-Vulnerable Coalition,"11,427,558","191,182,362,267",33.1,869.2
East Timor,TLS,Global South & Climate-Vulnerable Coalition,"1,400,638",,0.7,12.1
Eritrea,ERI,Global South & Climate-Vulnerable Coalition,"3,535,610",,0.7,19.1
Ethiopia,ETH,Global South & Climate-Vulnerable Coalition,"132,059,770","269,977,225,159",17.8,330.2
Fiji,FJI,Global South & Climate-Vulnerable Coalition,"928,800",,1.4,54.1
Gambia,GMB,Global South & Climate-Vulnerable Coalition,"2,759,999","4,656,793,663",0.8,17.7
Grenada,GRD,Global South & Climate-Vulnerable Coalition,"117,218",,0.4,9.6
Guinea,GIN,Global South & Climate-Vulnerable Coalition,"14,754,779","23,678,257,190",4.0,105.9
Guinea-Bissau,GNB,Global South & Climate-Vulnerable Coalition,"2,201,360","3,259,313,986",0.3,8.3
Guyana,GUY,Global South & Climate-Vulnerable Coalition,"831,092",,4.5,117.3
Haiti,HTI,Global South & Climate-Vulnerable Coalition,"11,772,562","17,550,916,862",3.0,88.8
Jamaica,JAM,Global South & Climate-Vulnerable Coalition,"2,839,182","20,019,224,153",8.4,485.2
Kiribati,KIR,Global South & Climate-Vulnerable Coalition,"134,521",,0.1,2.3
Laos,LAO,Global South & Climate-Vulnerable Coalition,"7,769,823","54,953,902,901",24.4,243.0
Lesotho,LSO,Global South & Climate-Vulnerable Coalition,"2,337,428","4,761,723,180",2.6,72.3
Liberia,LBR,Global South & Climate-Vulnerable Coalition,"5,612,813","4,231,561,135",0.9,52.5
Madagascar,MDG,Global South & Climate-Vulnerable Coalition,"31,964,960","38,602,188,321",4.5,112.7
Malawi,MWI,Global South & Climate-Vulnerable Coalition,"21,655,288","26,465,351,444",1.9,57.6
Maldives,MDV,Global South & Climate-Vulnerable Coalition,"527,801",,2.3,33.7
Mali,MLI,Global South & Climate-Vulnerable Coalition,"24,478,597","30,551,085,997",7.0,100.2
Marshall Islands,MHL,Global South & Climate-Vulnerable Coalition,"37,572",,0.2,4.0
Mauritania,MRT,Global South & Climate-Vulnerable Coalition,"5,169,403","15,674,544,913",5.2,99.9
Mauritius,MUS,Global South & Climate-Vulnerable Coalition,"1,271,171","26,988,574,640",4.7,133.2
Micronesia (country),FSM,Global South & Climate-Vulnerable Coalition,"113,171",,0.2,4.9
Mozambique,MOZ,Global South & Climate-Vulnerable Coalition,"34,631,767","31,441,725,629",8.6,211.2
Myanmar,MMR,Global South & Climate-Vulnerable Coalition,"54,500,086","291,025,085,135",31.6,727.9
Nauru,NRU,Global South & Climate-Vulnerable Coalition,"11,968",,0.1,5.1
Nepal,NPL,Global South & Climate-Vulnerable Coalition,"29,651,054","95,965,910,597",18.8,232.1
Niger,NER,Global South & Climate-Vulnerable Coalition,"27,032,417","24,776,754,234",3.2,61.5
Palau,PLW,Global South & Climate-Vulnerable Coalition,"17,719",,0.2,11.4
Papua New Guinea,PNG,Global South & Climate-Vulnerable Coalition,"10,576,509",,8.3,209.7
Rwanda,RWA,Global South & Climate-Vulnerable Coalition,"14,256,573","28,466,253,314",2.0,37.3
Saint Kitts and Nevis,KNA,Global South & Climate-Vulnerable Coalition,"46,867",,0.3,8.0
Saint Lucia,LCA,Global South & Climate-Vulnerable Coalition,"179,751","1,749,086,152",0.5,16.5
Saint Vincent and the Grenadines,VCT,Global South & Climate-Vulnerable Coalition,"100,630",,0.3,8.0
Samoa,WSM,Global South & Climate-Vulnerable Coalition,"218,031",,0.2,7.8
Sao Tome and Principe,STP,Global South & Climate-Vulnerable Coalition,"235,548","825,238,400",0.1,4.0
Senegal,SEN,Global South & Climate-Vulnerable Coalition,"18,501,988","51,913,993,763",14.1,300.6
Seychelles,SYC,Global South & Climate-Vulnerable Coalition,"130,436","3,053,368,129",0.7,16.1
Sierra Leone,SLE,Global South & Climate-Vulnerable Coalition,"8,642,029","11,681,270,534",1.4,42.6
Solomon Islands,SLB,Global South & Climate-Vulnerable Coalition,"819,206",,0.3,11.6
Somalia,SOM,Global South & Climate-Vulnerable Coalition,"19,009,155",,1.3,41.9
South Sudan,SSD,Global South & Climate-Vulnerable Coalition,"11,943,410",,1.7,45.5
