country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd,cpi_country,cpi_match_found,alias_applied,cpi_needs_quantified,cpi_data_coverage,cpi_thematic_coverage,ndc_publication_year,ndc_source_url,adaptation_need_2024_2035_usd_bn,conditional_need_all_objectives_usd_bn,unconditional_need_all_objectives_usd_bn,unspecified_need_all_objectives_usd_bn,classified_total_need_all_objectives_usd_bn,conditional_share_all_objectives,external_support_gap_proxy_2024_2035_usd_bn,scenario,finance_instrument_group,adaptation_need_annual_average_usd_bn,external_support_gap_proxy_annual_average_usd_bn
South Africa,ZAF,Rest of World,64007187.0,723559323969.0,439.8,22827.0,True,False,True,6.871103396560764,356.6318263603742,11304.344994398833,South Africa,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/South%20Africa%20updated%20first%20NDC%20September%202021.pdf,114.1518696512529,0.0,0.0,165.8776850992946,165.8776850992946,0.0,0.0,20-country selected coalition,Loan-eligible,9.512655804271075,0.0
Colombia,COL,Rest of World,52886360.0,742716953392.0,92.7,3802.0,False,False,True,1.7528149035025289,71.88999205088042,14043.63910452525,Colombia,True,False,Yes,Fully costed,Adaptation only,2025.0,https://unfccc.int/sites/default/files/2025-09/NDC%203.0%20Declarativa%20Colombia%20Transformaciones%20para%20la%20Vida%20V.25.09.2025%20Gob.%20Nacional.pdf,37.02629554259205,0.0,0.0,37.02629554259205,37.02629554259205,0.0,0.0,20-country selected coalition,Grant-priority,3.085524628549338,0.0
Dominican Republic,DOM,Global South & Climate-Vulnerable Coalition,11427558.0,191182362267.0,33.1,869.2,False,True,True,2.896506847744724,76.06174477521795,16729.940225812024,Dominican Republic,True,False,Yes,Fully costed,Both mitigation and adaptation,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/Dominican%20Republic%20First%20NDC%20%28Updated%20Submission%29.pdf,7.182857191143501,0.0,0.0,15.05557952816958,15.05557952816958,0.0,0.0,20-country selected coalition,Grant-priority,0.5985714325952918,0.0
Botswana,BWA,Rest of World,2521145.0,39293967463.0,7.5,184.3,False,False,True,2.974838813316965,73.10170577257556,15585.762605086182,Botswana,True,False,Yes,Fully costed,Both mitigation and adaptation,2024.0,https://unfccc.int/sites/default/files/2024-12/BOTSWANA_NDC_2%20REPORT.pdf ,2.4287378554683143,2.6954979294779227,0.8984993098259741,2.4289476671990413,6.0229449065029375,0.4475382012157557,1.0869529710609014,20-country selected coalition,Grant-priority,0.2023948212890262,0.09057941425507511
Dominica,DMA,Global South & Climate-Vulnerable Coalition,66226.0,675098029.0,0.2,5.5,False,True,True,3.019961948479449,83.04895358318485,10193.851795367378,Dominica,True,False,Yes,Partially costed,Both mitigation and adaptation,2022.0,https://unfccc.int/sites/default/files/2022-07/The%20Commonwealth%20of%20Dominica%20updated%20NDC%20July%204%20%2C.pdf,0.9843787042208948,0.0,0.0,1.0541263148204063,1.0541263148204063,0.0,0.0,20-country selected coalition,Grant-priority,0.08203155868507457,0.0
Saint Vincent and the Grenadines,VCT,Global South & Climate-Vulnerable Coalition,100630.0,,0.3,8.0,True,True,True,2.981218324555301,79.4991553214747,,Saint Vincent and the Grenadines,True,False,Yes,Partially costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-10/Revised%20NDC%202.0%20Final.pdf,0.0457189420020899,0.1809042898214972,0.0,0.0,0.1809042898214972,1.0,0.0457189420020899,20-country selected coalition,Loan-eligible,0.003809911833507492,0.003809911833507492
Grenada,GRD,Global South & Climate-Vulnerable Coalition,117218.0,,0.4,9.6,False,True,True,3.4124451875991744,81.89868450238018,,Grenada,True,False,Yes,Fully costed,Mitigation only,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/GrenadaSecondNDC2020%20-%2001-12-20.pdf,,0.0,0.0,0.7639595218132154,0.7639595218132154,0.0,,20-country selected coalition,Grant-priority,,
Maldives,MDV,Global South & Climate-Vulnerable Coalition,527801.0,,2.3,33.7,False,True,True,4.357702997910197,63.84982218677115,,Maldives,True,False,No,No needs quantified,,2025.0,https://unfccc.int/sites/default/files/2025-02/Maldives%E2%80%99%20Third%20Nationally%20Determined%20Contribution.pdf,,0.0,0.0,0.0,0.0,,,20-country selected coalition,Grant-priority,,
Mauritius,MUS,Global South & Climate-Vulnerable Coalition,1271171.0,26988574640.0,4.7,133.2,False,True,True,3.6973782441544056,104.78527279178016,21231.2699392922,Mauritius,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/NDC%203.0%20%20Mauritius.pdf,,0.747862366926704,0.3116093195527933,0.0,1.0594716864794975,0.7058823529411764,,20-country selected coalition,Grant-priority,,
Saint Lucia,LCA,Global South & Climate-Vulnerable Coalition,179751.0,1749086152.0,0.5,16.5,True,True,True,2.781625693320204,91.79364787956672,9730.605960467536,Saint Lucia,True,False,Yes,Fully costed,Mitigation only,2025.0,https://unfccc.int/sites/default/files/2025-02/Saint%20Lucias%20Third%20Nationally%20Determined%20Contribution.pdf,,0.483711935505861,0.0,0.0,0.483711935505861,1.0,,20-country selected coalition,Loan-eligible,,
Albania,ALB,Rest of World,2791756.0,36171005594.0,4.4,307.9,False,False,True,1.5760689687780738,110.28900806517476,12956.363519591254,Albania,True,False,No,No needs quantified,,2021.0,https://unfccc.int/sites/default/files/2022-08/Albania%20Revised%20NDC.pdf,,0.0,0.0,0.0,0.0,,,20-country selected coalition,Grant-priority,,
Bosnia and Herzegovina,BIH,Rest of World,3164256.0,47069138435.0,19.4,1043.5,False,False,True,6.130983081014937,329.77736314634467,14875.262442419324,Bosnia and Herzegovina,True,False,Yes,Partially costed,Mitigation only,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20BiH_November%202020%20FINAL%20DRAFT%2005%20Nov%20ENG%20LR.pdf ,,0.0,0.0,6.067651212209228,6.067651212209228,0.0,,20-country selected coalition,Grant-priority,,
Brazil,BRA,Rest of World,211998565.0,3187412907763.0,483.0,18198.7,True,False,True,2.278317308421404,85.84350559165341,15035.068316443558,Brazil,True,False,Yes,Partially costed,Adaptation only,2024.0,https://unfccc.int/sites/default/files/2024-11/Brazil_Second%20Nationally%20Determined%20Contribution%20%28NDC%29_November2024.pdf,,0.0,0.0,11.336914285714286,11.336914285714286,0.0,,20-country selected coalition,Loan-eligible,,
Gabon,GAB,Rest of World,2538953.0,36035291983.0,5.4,307.1,False,False,True,2.1268609541019465,120.955370186057,14192.973238575114,Gabon,True,False,Yes,Partially costed,Mitigation only,2022.0,https://unfccc.int/sites/default/files/NDC/2022-07/20220706_Gabon_Updated%20NDC.pdf ,,0.0,0.0,1.002130289670841,1.002130289670841,0.0,,20-country selected coalition,Grant-priority,,
