bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,country_count,gdp_observed_country_count,scenario,population_share,gdp_share,current_emissions_share,cumulative_emissions_share,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd,equal_per_capita_allowance_mt,historical_responsibility_allowance_mt,ability_to_pay_allowance_mt,equal_per_capita_change_from_2024,historical_responsibility_change_from_2024,ability_to_pay_change_from_2024,world_co2_2024_mt,world_2035_budget_mt,global_reduction_mt
China,1419321284.0,26966016991166.0,12289.0,285087.0,1,1,74-country LDC+AOSIS coalition,0.1740993872677138,0.20698517277280468,0.32860045991764264,0.15811312031587238,8.658363781713007,200.86149853016647,18999.23385575468,3255.4844425189804,9332.442763213503,8418.584254321326,-0.7350895563089771,-0.2405856649675724,-0.3149496090551448,37398.0,18699.0,18699.0
European Union (27),450259560.0,17087505276910.0,2426.2999999999997,300902.1,27,27,74-country LDC+AOSIS coalition,0.055230562939567955,0.1311599051931212,0.06487780095192255,0.1668843894691749,5.388669593156444,668.2858660457981,37950.34419016,1032.7562964069812,-694.2711986841014,-26.259067206173768,-0.5743492987647936,-1.2861440047331745,-1.0108226794733437,37398.0,18699.0,18699.0
Global South & Climate-Vulnerable Coalition,1232411318.0,3186239315255.0,549.8,14928.6,74,47,74-country LDC+AOSIS coalition,0.15117229463431026,0.02445686715170472,0.01470132092625274,0.008279604218878913,0.44611729214904855,12.113325950484333,2585.3700535838475,2826.7707373669673,394.97968071118316,92.48104113027341,4.141452778041047,-0.2815938873932645,-0.8317914857579602,37398.0,18699.0,18699.0
India,1450935785.0,10476248645535.0,3193.5,66072.5,1,1,74-country LDC+AOSIS coalition,0.17797734310119687,0.08041336385040826,0.08539226696614792,0.03664470544805788,2.2009933403083033,45.53785266244571,7220.339282992459,3327.9983386492804,2508.2806528267656,1689.850509361216,0.042116279520676425,-0.2145668849767448,-0.470846873536491,37398.0,18699.0,18699.0
Rest of World,3254007803.0,53070764909616.0,14035.300000000001,701200.4,114,87,74-country LDC+AOSIS coalition,0.39914906586200355,0.40735943493621546,0.37529547034600785,0.3888952607826307,4.313234893616511,215.48823557015913,16309.353917556049,7463.688382553604,6763.347518625589,6418.085926127708,-0.4682202459118363,-0.5181187777514134,-0.5427182941492018,37398.0,18699.0,18699.0
United States,345426566.0,19493170182843.0,4904.1,434866.6,1,1,74-country LDC+AOSIS coalition,0.04237134619520755,0.1496252560957457,0.13113268089202632,0.2411829197653851,14.197228825764373,1258.9263328403063,56432.16851723848,792.301802504186,394.22058330706386,2106.2573362656517,-0.8384409366643857,-0.9196140814202272,-0.5705109324308942,37398.0,18699.0,18699.0
China,1419321284.0,26966016991166.0,12289.0,285087.0,1,1,20-country selected coalition,0.1740993872677138,0.20698517277280468,0.32860045991764264,0.15811312031587238,8.658363781713007,200.86149853016647,18999.23385575468,3255.4844425189804,9332.442763213503,8418.584254321326,-0.7350895563089771,-0.2405856649675724,-0.3149496090551448,37398.0,18699.0,18699.0
European Union (27),450259560.0,17087505276910.0,2426.2999999999997,300902.1,27,27,20-country selected coalition,0.055230562939567955,0.1311599051931212,0.06487780095192255,0.1668843894691749,5.388669593156444,668.2858660457981,37950.34419016,1032.7562964069812,-694.2711986841014,-26.259067206173768,-0.5743492987647936,-1.2861440047331745,-1.0108226794733437,37398.0,18699.0,18699.0
Rest of World,3866766591.0,46555741854737.0,12141.0,613031.8,168,117,20-country selected coalition,0.4743124067745372,0.35735156120852685,0.32464302903898606,0.33999575831537676,3.1398326519781397,158.53860986252636,12039.96692303505,8869.16769427707,5783.4193152607695,5458.883156961757,-0.2694862289533754,-0.5236455551222494,-0.5503761504849883,37398.0,18699.0,18699.0
Global South & Climate-Vulnerable Coalition,619652530.0,9701262370134.0,2444.1,103097.2,20,17,20-country selected coalition,0.07600895372177666,0.07446474087939335,0.0653537622332745,0.05717910668613286,3.9443073039659824,166.37905117566453,15655.971533165532,1421.2914256435017,1374.9078840760017,1051.6838102962236,-0.41848065723845107,-0.43745841656396967,-0.5697050815039386,37398.0,18699.0,18699.0
India,1450935785.0,10476248645535.0,3193.5,66072.5,1,1,20-country selected coalition,0.17797734310119687,0.08041336385040826,0.08539226696614792,0.03664470544805788,2.2009933403083033,45.53785266244571,7220.339282992459,3327.9983386492804,2508.2806528267656,1689.850509361216,0.042116279520676425,-0.2145668849767448,-0.470846873536491,37398.0,18699.0,18699.0
United States,345426566.0,19493170182843.0,4904.1,434866.6,1,1,20-country selected coalition,0.04237134619520755,0.1496252560957457,0.13113268089202632,0.2411829197653851,14.197228825764373,1258.9263328403063,56432.16851723848,792.301802504186,394.22058330706386,2106.2573362656517,-0.8384409366643857,-0.9196140814202272,-0.5705109324308942,37398.0,18699.0,18699.0
