scenario,country,scenario_slug
74-country LDC+AOSIS coalition,Afghanistan,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Angola,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Antigua and Barbuda,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Bahamas,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Bangladesh,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Barbados,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Belize,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Benin,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Bhutan,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Burkina Faso,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Burundi,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Cambodia,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Cape Verde,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Central African Republic,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Chad,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Comoros,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Cuba,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Democratic Republic of Congo,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Djibouti,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Dominica,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Dominican Republic,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,East Timor,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Eritrea,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Ethiopia,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Fiji,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Gambia,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Grenada,74_country_ldc_aosis_coalition
74-country LDC+AOSIS coalition,Guinea,74_country_ldc_aosis_coalition
