country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd,cpi_country,cpi_match_found,alias_applied,cpi_needs_quantified,cpi_data_coverage,cpi_thematic_coverage,ndc_publication_year,ndc_source_url,adaptation_need_2024_2035_usd_bn,conditional_need_all_objectives_usd_bn,unconditional_need_all_objectives_usd_bn,unspecified_need_all_objectives_usd_bn,classified_total_need_all_objectives_usd_bn,conditional_share_all_objectives,external_support_gap_proxy_2024_2035_usd_bn
China,CHN,China,1419321284,26966016991166,12289.0,285087.0,False,False,False,8.658363781713007,200.86149853016647,18999.23385575468,China,True,False,No,No needs quantified,,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/%E4%B8%AD%E5%9B%BD%E8%90%BD%E5%AE%9E%E5%9B%BD%E5%AE%B6%E8%87%AA%E4%B8%BB%E8%B4%A1%E7%8C%AE%E6%88%90%E6%95%88%E5%92%8C%E6%96%B0%E7%9B%AE%E6%A0%87%E6%96%B0%E4%B8%BE%E6%8E%AA.pdf,,0.0,0.0,0.0,0.0,,
Austria,AUT,European Union (27),9120815,398815419150,56.4,5749.7,False,False,False,6.18365792969159,630.3932269210592,43725.85335301725,Austria,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Belgium,BEL,European Union (27),11738761,489678394377,85.5,12906.2,False,False,False,7.283562549744389,1099.4516371872637,41714.657481909715,Belgium,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Bulgaria,BGR,European Union (27),6757686,138390156500,31.6,3984.2,False,False,False,4.676156897494201,589.5805161707721,20478.92673616383,Bulgaria,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Croatia,HRV,European Union (27),3875325,102284645672,18.5,1184.7,False,False,False,4.773793165734487,305.7033926186836,26393.823917219845,Croatia,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Cyprus,CYP,European Union (27),1358287,34255009922,7.3,321.6,False,False,False,5.374416452487582,236.76881248219266,25219.272452729063,Cyprus,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Czechia,CZE,European Union (27),10735857,342966849621,75.6,12331.8,False,False,False,7.041822557807914,1148.655389131953,31945.921934411013,Czechia,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Denmark,DNK,European Union (27),5977417,299429011832,28.4,4199.7,False,False,False,4.751216118935654,702.5944484047207,50093.378432858204,Denmark,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Estonia,EST,European Union (27),1360548,39999856613,8.3,1668.5,False,False,False,6.1004830406571475,1226.3440907634276,29399.812879075194,Estonia,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Finland,FIN,European Union (27),5617311,226154847456,29.8,3324.8,False,False,False,5.305029399297991,591.8846223753678,40260.3394143568,Finland,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
France,FRA,European Union (27),66548532,2671568767031,264.2,40047.6,False,False,False,3.9700349813877187,601.7803668456578,40144.66866122607,France,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Germany,DEU,European Union (27),84552234,3909612753939,572.3,95135.7,False,False,False,6.768597030801102,1125.1707435666335,46239.02372513303,Germany,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Greece,GRC,European Union (27),10047813,263892672733,53.4,4296.8,False,False,False,5.314589353922092,427.6353471148398,26263.692679491545,Greece,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Hungary,HUN,European Union (27),9676135,285385229433,40.0,5183.9,False,False,False,4.133881968368569,535.7407683956455,29493.72134979514,Hungary,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Ireland,IRL,European Union (27),5255016,308390920561,33.3,2366.4,False,False,False,6.336802780429212,450.3126156038345,58685.05834444652,Ireland,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Italy,ITA,European Union (27),59342870,2136009300257,301.9,26005.9,False,False,False,5.087384550157416,438.23124833699484,35994.37135846311,Italy,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Latvia,LVA,European Union (27),1871874,51248480035,6.5,980.8,False,False,False,3.472455945218535,523.9668909338983,27378.167566299868,Latvia,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Lithuania,LTU,European Union (27),2859112,84814257826,12.5,1610.1,False,False,False,4.371986826679053,563.1468791708754,29664.545434386622,Lithuania,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Luxembourg,LUX,European Union (27),673042,36128358732,7.0,783.0,False,False,False,10.400539639428148,1163.3746482388915,53679.20387137801,Luxembourg,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Malta,MLT,European Union (27),539612,18295132993,1.7,111.2,False,False,False,3.1504117773511338,206.073993906733,33904.23673491323,Malta,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Netherlands,NLD,European Union (27),18228740,879609110665,114.8,12261.7,False,False,False,6.2977474032763645,672.657572602385,48253.972060877495,Netherlands,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
Poland,POL,European Union (27),38539209,1231021338216,272.9,29043.9,False,False,False,7.081100185527939,753.6195151280868,31942.049931953716,Poland,True,False,No,No needs quantified,,2023.0,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,,0.0,0.0,0.0,0.0,,
