country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd,cpi_country,cpi_match_found,alias_applied,cpi_needs_quantified,cpi_data_coverage,cpi_thematic_coverage,ndc_publication_year,ndc_source_url,adaptation_need_2024_2035_usd_bn,conditional_need_all_objectives_usd_bn,unconditional_need_all_objectives_usd_bn,unspecified_need_all_objectives_usd_bn,classified_total_need_all_objectives_usd_bn,conditional_share_all_objectives,external_support_gap_proxy_2024_2035_usd_bn
Afghanistan,AFG,Global South & Climate-Vulnerable Coalition,42647502,53303471617,10.8,242.6,False,True,False,0.2532387477231375,5.688492610891958,1249.8615186652667,Afghanistan,True,False,Yes,Fully costed,Both mitigation and adaptation,2016.0,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_AFG_20150927_FINAL.pdf,8.080124980636977,12.290630533829356,0.0,0.0,12.290630533829356,1.0,8.080124980636977
Angola,AGO,Global South & Climate-Vulnerable Coalition,37885854,158346237030,22.3,739.6,False,True,False,0.5886101973575678,19.521798294424087,4179.560978881458,Angola,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Angola%20NDC_September2025_Upload.pdf,0.20715034911899333,346.03214251331616,45.76271279189598,0.0,391.79485530521214,0.8831972595550128,0.18295462065775908
Antigua and Barbuda,ATG,Global South & Climate-Vulnerable Coalition,93782,,0.7,26.9,False,True,False,7.4641189140773285,286.8354268409716,,Antigua and Barbuda,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/ATG%20-%20UNFCCC%20NDC%20-%202021-09-02%20-%20Final.pdf,,0.0,0.0,0.9660357906108358,0.9660357906108358,0.0,
Bahamas,BHS,Global South & Climate-Vulnerable Coalition,401282,,3.1,180.6,False,True,False,7.725240603864614,450.0575655025643,,Bahamas,True,False,Yes,Fully costed,Both mitigation and adaptation,2022.0,https://unfccc.int/sites/default/files/NDC/2022-11/Bahamas%20Updated%20Nationally%20Determined%20Contributio,,0.0,0.0,2.6502369373805026,2.6502369373805026,0.0,
Bangladesh,BGD,Global South & Climate-Vulnerable Coalition,173562366,858143907016,108.3,2001.0,False,True,False,0.6239831969103256,11.528997017706017,4944.2971238131195,Bangladesh,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Bangladesh%20Third%20Nationally%20Determined%20Contribution%20%28NDC%203.0%29.pdf,12.354135877359903,85.74720617032189,24.660755847499207,12.354135877359903,122.762097895181,0.6984827372658307,8.62915064417235
Barbados,BRB,Global South & Climate-Vulnerable Coalition,282476,3408005977,1.4,63.9,False,True,False,4.956173267817443,226.213908438239,12064.762942692476,Barbados,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Barbados%20Second%20NDC.pdf,1.0358467774094076,0.0,0.0,3.307107142554805,3.307107142554805,0.0,0.0
Belize,BLZ,Global South & Climate-Vulnerable Coalition,417077,,0.8,22.5,False,True,False,1.9181110442436289,53.94687311935206,,Belize,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-06/BELIZE%20FINAL%20NDC%203.0.pdf,0.8808498880557611,1.426427534762863,0.0,0.0,1.426427534762863,1.0,0.8808498880557611
Benin,BEN,Global South & Climate-Vulnerable Coalition,14462721,33290362034,6.1,128.4,False,True,False,0.4217740216381136,8.877997439071112,2301.804897847369,Benin,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/documents/497266,1.8343970877998912,3.4438005171456285,4.37413066319319,0.0,7.817931180338819,0.4405002343594918,0.8080523470842214
Bhutan,BTN,Global South & Climate-Vulnerable Coalition,791530,,1.7,29.8,False,True,False,2.147739188659937,37.64860460121537,,Bhutan,True,False,Yes,Partially costed,Mitigation only,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Second%20NDC%20Bhutan.pdf,,0.0,0.0,2.7191839473521053,2.7191839473521053,0.0,
Burkina Faso,BFA,Global South & Climate-Vulnerable Coalition,23548782,37320442404,6.5,95.8,False,True,False,0.27602276839625933,4.068150955747945,1584.8141277115733,Burkina Faso,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/documents/497293,1.9215450076454048,1.8079064944223568,1.1188806109330265,0.0,2.926787105355383,0.6177102841249648,1.1869581126315505
